Age,Gender,Education,HomeOwnership,Intent,Income,YearsExperience,LoanAmount,InterestRate,PercentIncome,CreditScore,YearsCreditHistory,PreviousLoanDefault,LoanApproved
24,female,High School,OWN,VENTURE,15082,0,2500,12.69,0.17,631,3,No,1
26,male,Bachelor,MORTGAGE,VENTURE,361293,5,20000,7.88,0.06,684,4,Yes,0
23,male,High School,OWN,EDUCATION,361547,0,24250,19.41,0.07,637,2,Yes,0
26,male,Master,OWN,HOMEIMPROVEMENT,360680,5,10000,10.38,0.03,649,4,No,0
26,male,Bachelor,MORTGAGE,EDUCATION,360977,5,25000,15.33,0.07,695,3,Yes,0
25,female,Bachelor,MORTGAGE,HOMEIMPROVEMENT,361244,2,18000,16.45,0.05,620,3,No,0
26,male,Bachelor,RENT,PERSONAL,98230,2,30000,7.49,0.31,622,3,No,1
22,female,High School,RENT,MEDICAL,80838,0,30000,12.69,0.37,645,3,No,1
26,male,Master,RENT,DEBTCONSOLIDATION,107957,2,30000,6.62,0.28,654,3,No,1
24,female,Bachelor,RENT,DEBTCONSOLIDATION,94649,2,30000,11.01,0.32,624,4,No,1
23,male,High School,RENT,DEBTCONSOLIDATION,94550,1,30000,18.62,0.32,570,3,No,1
23,male,Bachelor,RENT,PERSONAL,111153,3,30000,15.23,0.27,648,3,No,1
23,female,Associate,RENT,VENTURE,117250,0,30000,10.65,0.26,652,2,No,1
25,male,Bachelor,RENT,EDUCATION,144985,3,30000,7.9,0.21,559,4,No,0
26,male,High School,RENT,PERSONAL,337133,7,10000,15.96,0.03,623,3,Yes,0
26,male,Associate,RENT,VENTURE,333566,2,20000,11.48,0.06,602,3,Yes,0
23,male,Bachelor,OWN,PERSONAL,333399,1,35000,11.01,0.1,609,4,No,0
25,male,Master,RENT,PERSONAL,154793,1,30000,7.29,0.19,573,4,Yes,0
24,male,Associate,OWN,VENTURE,15229,1,1750,11.01,0.11,631,3,Yes,0
21,female,Bachelor,RENT,VENTURE,158338,0,30000,5.99,0.19,623,4,Yes,0
22,female,Bachelor,OWN,VENTURE,331034,0,12000,11.58,0.04,602,2,Yes,0
26,female,High School,MORTGAGE,EDUCATION,316466,6,10000,11.01,0.03,579,4,No,1
25,female,Associate,MORTGAGE,MEDICAL,267671,0,25000,15.7,0.09,582,2,No,1
22,male,Master,RENT,EDUCATION,85191,0,29100,15.99,0.34,700,3,No,1
22,male,Associate,MORTGAGE,EDUCATION,15013,0,1500,14.84,0.1,688,3,No,0
26,male,Bachelor,OWN,HOMEIMPROVEMENT,313100,3,28000,10.99,0.09,607,3,Yes,0
25,female,Bachelor,MORTGAGE,HOMEIMPROVEMENT,311952,0,20000,14.42,0.06,661,2,Yes,0
24,male,High School,MORTGAGE,EDUCATION,306897,5,9600,6.99,0.03,562,2,Yes,0
25,female,Bachelor,RENT,MEDICAL,301136,0,25000,13.49,0.08,664,4,Yes,0
25,male,High School,OWN,MEDICAL,15162,1,3000,11.01,0.2,564,3,No,1
22,male,Associate,RENT,MEDICAL,69042,0,28000,11.01,0.41,598,2,No,1
21,female,High School,OWN,EDUCATION,15307,0,3000,13.61,0.2,557,3,No,1
23,female,Associate,RENT,EDUCATION,79183,0,28000,7.9,0.35,677,2,No,1
26,male,Bachelor,RENT,VENTURE,102654,4,28000,7.49,0.27,690,3,No,1
26,male,Associate,OWN,EDUCATION,15229,1,6100,7.51,0.4,599,3,No,1
22,male,High School,RENT,VENTURE,106566,0,28000,9.91,0.26,604,3,No,1
21,female,Bachelor,OWN,PERSONAL,15252,0,4200,13.48,0.28,663,4,No,1
22,male,Bachelor,OWN,DEBTCONSOLIDATION,15432,3,4750,7.14,0.31,601,2,No,1
24,male,High School,RENT,VENTURE,100332,1,28000,15.99,0.28,634,4,No,1
24,male,Bachelor,RENT,EDUCATION,300951,2,18000,12.98,0.06,671,3,No,0
144,male,Bachelor,RENT,VENTURE,300616,125,4800,13.57,0.02,789,3,No,0
25,female,Bachelor,RENT,DEBTCONSOLIDATION,121062,1,28000,12.69,0.23,622,3,No,0
26,male,Associate,RENT,EDUCATION,133372,1,28000,8.9,0.21,538,2,Yes,0
26,male,Bachelor,OWN,DEBTCONSOLIDATION,15505,0,2700,11.01,0.17,587,4,No,1
22,male,Master,RENT,EDUCATION,130852,0,28000,11.01,0.21,683,4,No,1
23,male,Associate,RENT,DEBTCONSOLIDATION,182316,0,28000,11.11,0.15,634,2,Yes,0
24,female,Bachelor,RENT,HOMEIMPROVEMENT,83853,3,27600,11.01,0.33,690,2,No,1
21,female,Bachelor,MORTGAGE,DEBTCONSOLIDATION,15394,0,3250,15.68,0.21,518,3,No,1
22,female,Bachelor,RENT,EDUCATION,85243,0,27500,13.06,0.32,583,3,No,1
22,male,Associate,OWN,PERSONAL,288907,2,25000,11.01,0.09,617,2,Yes,0
26,male,Associate,RENT,VENTURE,89074,4,27050,15.62,0.3,668,2,No,1
24,male,Master,RENT,PERSONAL,100509,2,27000,13.49,0.27,673,2,No,1
24,male,High School,RENT,VENTURE,88950,3,27000,11.01,0.3,706,3,No,1
23,female,High School,RENT,MEDICAL,75894,1,26000,11.71,0.34,536,2,No,1
23,male,Associate,RENT,EDUCATION,145092,0,25600,12.69,0.18,557,3,Yes,0
24,female,Bachelor,OWN,MEDICAL,15928,1,1600,13.57,0.1,689,3,Yes,0
22,male,Bachelor,RENT,VENTURE,73131,3,25475,10.99,0.35,681,3,No,1
25,male,Master,MORTGAGE,MEDICAL,281501,4,20000,14.27,0.07,623,4,Yes,0
24,female,Associate,OWN,HOMEIMPROVEMENT,281775,0,20000,8.88,0.07,595,4,Yes,0
26,male,Bachelor,MORTGAGE,HOMEIMPROVEMENT,281792,1,21600,12.18,0.08,584,3,Yes,0
25,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,266090,4,11900,14.42,0.04,669,3,No,1
26,male,High School,MORTGAGE,MEDICAL,279664,3,25000,14.17,0.09,642,2,Yes,0
25,female,High School,MORTGAGE,MEDICAL,277017,4,35000,13.99,0.13,622,4,Yes,0
23,male,Associate,RENT,EDUCATION,100756,0,25300,10.99,0.25,689,3,No,1
22,male,High School,MORTGAGE,PERSONAL,16218,1,2000,5.42,0.12,614,4,No,1
25,female,Bachelor,OWN,PERSONAL,16211,2,1750,13.61,0.11,597,3,Yes,0
21,female,Bachelor,RENT,EDUCATION,51922,3,25000,12.73,0.48,673,3,No,1
24,male,Associate,RENT,HOMEIMPROVEMENT,50309,3,25000,11.01,0.5,625,3,No,1
25,male,High School,OWN,DEBTCONSOLIDATION,16378,0,3000,12.87,0.18,603,4,No,1
24,male,Bachelor,MORTGAGE,HOMEIMPROVEMENT,16572,0,3650,9.91,0.22,589,3,No,1
26,male,Master,MORTGAGE,HOMEIMPROVEMENT,272201,5,20000,11.49,0.07,670,4,Yes,0
25,female,Bachelor,MORTGAGE,HOMEIMPROVEMENT,271324,3,30000,19.91,0.11,637,2,Yes,0
26,male,Associate,MORTGAGE,EDUCATION,256862,2,35000,10.65,0.14,643,2,No,1
24,male,High School,RENT,MEDICAL,271342,0,6000,11.01,0.02,508,4,Yes,0
24,male,High School,MORTGAGE,DEBTCONSOLIDATION,16470,2,4500,11.83,0.27,643,4,No,1
23,male,High School,OWN,DEBTCONSOLIDATION,16599,0,2400,13.49,0.14,505,2,No,1
22,male,Bachelor,RENT,MEDICAL,51608,0,25000,14.59,0.48,593,2,No,1
26,female,Master,RENT,EDUCATION,58516,6,25000,9.64,0.43,686,4,No,1
25,female,Associate,OWN,MEDICAL,16395,4,3600,14.59,0.22,646,3,No,1
22,female,Bachelor,OWN,EDUCATION,16890,0,4750,11.01,0.28,645,3,No,1
25,female,Associate,RENT,EDUCATION,51747,3,25000,16.35,0.48,697,3,No,1
21,male,High School,RENT,EDUCATION,59864,0,25000,10.99,0.42,648,2,No,1
25,male,Master,MORTGAGE,VENTURE,270972,1,25000,18.67,0.09,640,2,Yes,0
26,male,Bachelor,RENT,EDUCATION,270870,5,3000,9.32,0.01,681,4,No,0
23,female,Associate,RENT,DEBTCONSOLIDATION,270729,0,7500,8.63,0.03,646,2,No,0
26,male,Bachelor,MORTGAGE,VENTURE,270877,4,25000,10.08,0.09,615,2,Yes,0
22,male,Associate,RENT,PERSONAL,60501,0,25000,11.83,0.41,687,3,No,1
23,male,High School,RENT,DEBTCONSOLIDATION,60754,1,25000,7.9,0.41,650,3,No,1
25,male,Bachelor,RENT,HOMEIMPROVEMENT,60829,0,25000,5.99,0.41,588,2,No,1
24,male,Bachelor,RENT,DEBTCONSOLIDATION,53825,2,25000,15.33,0.46,652,2,No,1
23,male,High School,RENT,VENTURE,60801,0,25000,11.83,0.41,658,4,No,1
22,male,High School,RENT,VENTURE,60747,0,25000,10.36,0.41,634,2,No,1
22,female,High School,RENT,VENTURE,61029,0,25000,12.23,0.41,623,3,No,1
22,female,Associate,RENT,EDUCATION,63236,0,25000,11.11,0.4,635,4,No,1
23,female,Bachelor,OWN,DEBTCONSOLIDATION,17149,0,4950,7.9,0.29,531,4,No,1
24,female,Master,MORTGAGE,EDUCATION,265066,4,25000,11.58,0.09,665,2,Yes,0
23,male,Associate,MORTGAGE,DEBTCONSOLIDATION,260205,2,21000,8.9,0.08,703,3,No,0
25,female,Associate,MORTGAGE,EDUCATION,260035,5,25000,16.07,0.1,585,3,Yes,0
26,female,Bachelor,MORTGAGE,EDUCATION,260444,4,20000,14.22,0.08,594,2,No,0
23,male,Bachelor,MORTGAGE,MEDICAL,258980,0,35000,14.79,0.14,618,3,Yes,0
26,male,High School,MORTGAGE,EDUCATION,259081,2,12000,7.88,0.05,626,2,Yes,0
23,male,High School,RENT,PERSONAL,63497,0,25000,13.22,0.39,695,2,No,1
26,female,Doctorate,RENT,DEBTCONSOLIDATION,56325,2,25000,11.86,0.44,690,4,No,1
22,male,Bachelor,RENT,EDUCATION,64842,0,25000,13.43,0.39,574,4,No,1
26,female,High School,RENT,HOMEIMPROVEMENT,57856,0,25000,15.28,0.43,602,2,No,1
23,male,Associate,RENT,VENTURE,57318,0,25000,17.93,0.44,679,2,No,1
23,female,High School,MORTGAGE,EDUCATION,16916,2,1400,9.25,0.08,615,4,No,0
21,male,Master,OWN,VENTURE,16664,0,4500,12.98,0.27,601,4,No,1
22,male,Associate,MORTGAGE,VENTURE,252803,0,16000,10.62,0.06,577,4,Yes,0
26,female,Associate,OWN,PERSONAL,253061,3,22000,11.83,0.09,588,4,Yes,0
26,male,Bachelor,RENT,VENTURE,58602,8,25000,18.43,0.43,595,2,No,1
22,male,High School,RENT,EDUCATION,67012,2,25000,11.01,0.37,653,4,No,1
24,female,Master,RENT,HOMEIMPROVEMENT,66643,3,25000,11.01,0.38,663,4,No,1
23,male,Bachelor,RENT,EDUCATION,66599,0,25000,11.36,0.38,653,3,No,1
23,male,Associate,RENT,EDUCATION,67212,2,25000,15.65,0.37,598,3,No,1
24,female,High School,RENT,PERSONAL,66918,1,25000,13.22,0.37,630,4,No,1
26,male,Associate,RENT,DEBTCONSOLIDATION,68066,2,25000,12.87,0.37,637,2,No,1
24,male,Associate,OWN,MEDICAL,245545,1,20000,13.04,0.08,660,3,Yes,0
23,male,Associate,MORTGAGE,EDUCATION,229083,0,22000,17.58,0.1,639,3,No,1
23,male,High School,OWN,PERSONAL,17859,0,7750,17.04,0.43,626,4,No,1
24,female,Associate,RENT,PERSONAL,72608,3,25000,10.99,0.34,612,3,No,1
24,male,Bachelor,RENT,PERSONAL,73073,1,25000,11.11,0.34,628,3,No,1
26,female,Master,RENT,DEBTCONSOLIDATION,65880,2,25000,14.83,0.38,592,2,No,1
23,male,High School,OWN,DEBTCONSOLIDATION,17755,1,4000,11.01,0.23,580,3,No,1
24,male,Bachelor,RENT,MEDICAL,241180,3,12000,12.69,0.05,634,2,No,0
24,male,Associate,MORTGAGE,HOMEIMPROVEMENT,240894,3,12000,13.49,0.05,678,2,No,0
21,male,High School,MORTGAGE,EDUCATION,240980,0,16000,14.65,0.07,557,4,Yes,0
25,male,Bachelor,RENT,HOMEIMPROVEMENT,65742,3,25000,16.82,0.38,672,4,No,1
23,male,Bachelor,RENT,PERSONAL,72713,0,25000,12.73,0.34,613,3,No,1
23,male,High School,RENT,PERSONAL,72627,3,25000,10.25,0.34,566,4,No,1
21,male,Associate,RENT,EDUCATION,72843,0,25000,10.99,0.34,718,4,No,1
25,male,High School,RENT,MEDICAL,75504,4,25000,12.73,0.33,484,2,No,1
22,female,High School,RENT,HOMEIMPROVEMENT,68824,0,25000,14.96,0.36,634,3,No,1
23,female,Bachelor,MORTGAGE,EDUCATION,241167,2,28000,11.01,0.12,653,2,Yes,0
21,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,241060,0,25000,13.99,0.1,699,2,No,0
24,male,High School,MORTGAGE,VENTURE,240855,0,24000,7.49,0.1,656,4,Yes,0
26,male,High School,MORTGAGE,EDUCATION,241030,3,15000,14.79,0.06,626,3,Yes,0
25,male,High School,MORTGAGE,DEBTCONSOLIDATION,240895,2,15500,11.99,0.06,659,2,No,0
24,female,High School,RENT,EDUCATION,240932,4,10000,8.49,0.04,604,4,Yes,0
24,male,Associate,RENT,EDUCATION,80145,1,25000,9.91,0.31,636,2,No,1
22,male,Master,RENT,EDUCATION,80303,0,25000,13.06,0.31,554,3,No,1
22,male,High School,MORTGAGE,DEBTCONSOLIDATION,241048,0,9000,6.17,0.04,587,4,Yes,0
144,male,Associate,MORTGAGE,EDUCATION,241424,121,6000,11.86,0.02,807,2,No,0
25,male,Bachelor,RENT,EDUCATION,241005,4,18000,16.32,0.07,708,3,Yes,0
25,female,Master,MORTGAGE,VENTURE,240768,2,12000,10.38,0.05,669,2,Yes,0
25,male,Associate,MORTGAGE,PERSONAL,241201,2,23050,14.35,0.1,578,3,No,0
24,male,Bachelor,MORTGAGE,DEBTCONSOLIDATION,240920,5,20000,11.01,0.08,615,3,No,0
24,female,Master,RENT,DEBTCONSOLIDATION,72919,1,25000,11.01,0.34,553,2,No,1
21,male,Master,OWN,HOMEIMPROVEMENT,18008,0,3000,11.01,0.17,635,4,No,1
26,female,Associate,RENT,PERSONAL,81238,3,25000,15.21,0.31,531,2,No,1
23,male,High School,RENT,EDUCATION,80868,1,25000,7.9,0.31,621,4,No,1
24,male,Bachelor,RENT,VENTURE,81537,1,25000,10.99,0.31,674,3,No,1
24,female,Associate,RENT,PERSONAL,82741,0,25000,14.09,0.3,688,3,No,1
25,female,High School,RENT,PERSONAL,83901,3,25000,17.49,0.3,597,2,No,1
25,male,Associate,MORTGAGE,EDUCATION,240717,1,12000,11.48,0.05,640,3,No,0
26,female,Associate,MORTGAGE,VENTURE,226744,0,20000,17.74,0.09,621,2,No,1
26,female,Bachelor,MORTGAGE,PERSONAL,241114,5,3000,13.92,0.01,608,3,Yes,0
25,male,Bachelor,RENT,EDUCATION,85284,3,25000,15.21,0.29,653,3,No,1
22,female,Bachelor,OWN,MEDICAL,18152,0,4000,10.99,0.22,585,3,No,1
24,female,High School,RENT,EDUCATION,84871,3,25000,11.86,0.29,569,4,No,1
24,male,Bachelor,OWN,PERSONAL,18294,2,6000,7.49,0.33,587,3,No,1
24,male,Bachelor,RENT,MEDICAL,68029,1,25000,16.49,0.37,631,4,No,1
25,female,High School,RENT,VENTURE,80001,4,25000,15.33,0.31,592,2,No,1
26,female,High School,RENT,HOMEIMPROVEMENT,79875,6,25000,11.58,0.31,679,4,No,1
25,male,High School,OWN,EDUCATION,18449,1,5375,5.79,0.29,645,2,No,1
25,male,Associate,RENT,MEDICAL,88153,0,25000,13.11,0.28,669,2,No,1
23,female,Bachelor,RENT,MEDICAL,90109,0,25000,10.36,0.28,653,3,No,1
25,male,Bachelor,RENT,DEBTCONSOLIDATION,90938,1,25000,10.36,0.27,577,2,No,1
24,male,High School,RENT,MEDICAL,231335,0,22000,11.01,0.1,668,2,Yes,0
21,male,Bachelor,MORTGAGE,VENTURE,231829,0,20000,6.54,0.09,629,4,No,0
25,female,Associate,MORTGAGE,MEDICAL,230516,4,10000,12.53,0.04,643,4,No,0
26,male,Bachelor,MORTGAGE,PERSONAL,229626,0,15000,11.01,0.07,626,3,No,0
22,male,Bachelor,MORTGAGE,VENTURE,228907,0,10000,11.01,0.04,560,3,Yes,0
24,male,Bachelor,RENT,EDUCATION,90938,0,25000,10.25,0.27,648,4,No,1
22,male,Associate,RENT,EDUCATION,86284,0,25000,15.95,0.29,648,4,No,1
26,male,Associate,MORTGAGE,VENTURE,228774,3,20000,12.18,0.09,669,4,Yes,0
23,male,High School,OWN,PERSONAL,229027,2,24000,11.83,0.1,536,3,Yes,0
23,male,High School,RENT,DEBTCONSOLIDATION,94789,1,25000,11.01,0.26,548,2,No,1
23,female,Master,RENT,VENTURE,94780,0,25000,10.62,0.26,667,3,No,1
23,male,High School,RENT,VENTURE,95298,0,25000,10.74,0.26,676,3,No,1
25,male,Associate,OWN,VENTURE,223944,1,10000,10.25,0.04,570,4,Yes,0
24,male,High School,MORTGAGE,EDUCATION,222629,0,35000,12.42,0.16,623,2,No,0
25,female,Bachelor,RENT,VENTURE,222973,2,15000,15.27,0.07,652,2,Yes,0
24,female,High School,RENT,MEDICAL,75240,1,25000,15.33,0.33,625,2,No,1
23,female,High School,RENT,VENTURE,96143,1,25000,15.21,0.26,642,2,No,1
21,male,Bachelor,OWN,VENTURE,18064,0,6250,14.72,0.35,580,2,No,1
24,male,Associate,RENT,PERSONAL,96627,2,25000,15.7,0.26,622,2,No,1
24,male,Bachelor,RENT,EDUCATION,96309,3,25000,13.35,0.26,581,4,No,1
21,female,High School,MORTGAGE,MEDICAL,18421,1,1500,11.01,0.08,623,4,No,0
24,male,Master,RENT,EDUCATION,96836,1,25000,6.62,0.26,583,2,No,1
26,male,Bachelor,RENT,DEBTCONSOLIDATION,96947,4,25000,13.61,0.26,645,4,No,1
22,female,Associate,RENT,MEDICAL,222975,2,25000,11.36,0.11,593,2,Yes,0
26,male,Associate,OWN,PERSONAL,222985,3,5000,7.68,0.02,659,2,Yes,0
24,female,Bachelor,RENT,HOMEIMPROVEMENT,223064,0,22000,14.46,0.1,655,4,Yes,0
23,male,Associate,OWN,EDUCATION,221559,2,2500,11.83,0.01,583,2,Yes,0
24,female,Associate,MORTGAGE,DEBTCONSOLIDATION,207712,0,20000,13.47,0.1,582,4,No,1
24,female,Bachelor,MORTGAGE,MEDICAL,220872,1,20000,11.49,0.09,504,3,Yes,0
22,male,High School,MORTGAGE,EDUCATION,220518,0,1000,11.01,0.0,551,2,Yes,0
25,female,Associate,MORTGAGE,PERSONAL,220510,1,15000,6.03,0.07,529,3,Yes,0
23,female,Bachelor,RENT,DEBTCONSOLIDATION,89818,0,25000,16.35,0.28,674,4,No,1
26,female,High School,RENT,DEBTCONSOLIDATION,90006,4,25000,11.01,0.28,595,4,No,1
25,female,High School,RENT,DEBTCONSOLIDATION,98704,6,25000,7.29,0.25,597,3,No,1
23,male,High School,RENT,MEDICAL,98967,5,25000,11.36,0.25,566,3,No,1
24,male,High School,RENT,VENTURE,99435,3,25000,10.25,0.25,666,2,No,0
24,female,Bachelor,RENT,EDUCATION,100658,1,25000,11.12,0.25,695,3,No,0
24,female,Bachelor,RENT,PERSONAL,100435,2,25000,12.92,0.25,576,3,Yes,0
24,male,High School,RENT,EDUCATION,216925,5,18000,18.64,0.08,651,4,Yes,0
23,female,Bachelor,MORTGAGE,PERSONAL,216891,0,28000,7.51,0.13,633,3,Yes,0
23,male,Master,OWN,HOMEIMPROVEMENT,18512,1,4000,16.7,0.22,566,2,No,1
22,male,Master,OWN,PERSONAL,18367,0,2100,11.14,0.11,583,4,No,0
22,female,Associate,RENT,PERSONAL,102317,0,25000,18.3,0.24,586,4,Yes,0
24,female,Associate,RENT,MEDICAL,103400,4,25000,10.62,0.24,592,4,Yes,0
24,male,Bachelor,MORTGAGE,VENTURE,217134,2,14000,11.99,0.06,598,2,Yes,0
26,male,Master,MORTGAGE,VENTURE,217024,1,12000,9.63,0.06,637,4,Yes,0
25,female,High School,MORTGAGE,MEDICAL,172215,5,10000,18.25,0.06,628,4,No,1
23,male,Master,MORTGAGE,DEBTCONSOLIDATION,18831,0,6000,11.01,0.32,667,4,No,1
24,male,Associate,RENT,HOMEIMPROVEMENT,105349,5,25000,14.84,0.24,621,3,Yes,0
24,male,Bachelor,RENT,VENTURE,91184,1,25000,14.7,0.27,668,3,No,1
23,female,High School,RENT,DEBTCONSOLIDATION,91886,1,25000,16.02,0.27,544,4,No,1
23,male,Associate,RENT,MEDICAL,80452,2,25000,15.37,0.31,699,2,No,1
25,female,Bachelor,RENT,MEDICAL,108758,2,25000,10.99,0.23,611,4,No,0
21,male,Associate,OWN,HOMEIMPROVEMENT,18916,0,6200,7.9,0.33,615,2,No,1
26,female,High School,OWN,PERSONAL,217234,5,25000,10.99,0.12,559,4,Yes,0
24,female,High School,OWN,EDUCATION,217017,0,21000,11.48,0.1,577,3,Yes,0
25,male,High School,OWN,MEDICAL,216874,1,20000,14.26,0.09,657,4,Yes,0
26,male,Associate,OWN,HOMEIMPROVEMENT,216833,5,10000,8.0,0.05,676,4,Yes,0
25,male,Bachelor,MORTGAGE,VENTURE,216483,0,9950,11.26,0.05,601,2,No,0
23,female,Master,OWN,MEDICAL,19000,2,4475,11.01,0.24,647,4,No,1
23,female,Master,RENT,VENTURE,94363,0,25000,16.32,0.26,576,3,No,1
25,male,Master,RENT,MEDICAL,80570,3,25000,17.93,0.31,612,4,No,1
23,male,Bachelor,RENT,DEBTCONSOLIDATION,109167,0,25000,11.36,0.23,678,3,No,0
24,female,Associate,RENT,DEBTCONSOLIDATION,95753,1,25000,14.96,0.26,542,4,No,1
24,female,Associate,RENT,PERSONAL,110935,1,25000,13.43,0.23,709,3,Yes,0
25,male,Associate,RENT,HOMEIMPROVEMENT,111490,2,25000,12.69,0.22,622,3,Yes,0
24,male,Associate,RENT,VENTURE,111729,4,25000,12.73,0.22,642,4,Yes,0
23,female,High School,RENT,VENTURE,113396,0,25000,15.21,0.22,660,4,No,0
23,female,Bachelor,MORTGAGE,MEDICAL,19175,1,1750,12.68,0.09,587,3,Yes,0
23,female,High School,RENT,MEDICAL,85787,0,25000,19.04,0.29,646,4,No,1
25,female,Master,RENT,DEBTCONSOLIDATION,102114,7,25000,15.95,0.24,637,3,No,1
26,male,Bachelor,MORTGAGE,VENTURE,211005,5,2600,8.9,0.01,718,4,No,0
25,male,Master,MORTGAGE,HOMEIMPROVEMENT,210903,4,8000,7.9,0.04,588,2,Yes,0
22,male,Associate,MORTGAGE,EDUCATION,210555,0,18000,11.01,0.09,652,2,No,0
23,male,Bachelor,MORTGAGE,PERSONAL,210937,0,21000,11.99,0.1,620,3,Yes,0
23,male,High School,OWN,DEBTCONSOLIDATION,19062,2,4000,13.98,0.21,667,4,No,1
23,female,Associate,OWN,VENTURE,18926,0,4600,10.99,0.24,688,2,No,1
22,male,Associate,RENT,DEBTCONSOLIDATION,106694,0,25000,15.58,0.23,667,2,No,1
25,male,Master,RENT,MEDICAL,90718,4,25000,10.99,0.28,692,2,No,1
25,male,Bachelor,RENT,VENTURE,106668,1,25000,14.96,0.23,562,4,No,1
25,male,High School,OWN,HOMEIMPROVEMENT,19158,4,1750,15.31,0.09,625,4,Yes,0
26,male,High School,RENT,VENTURE,106419,5,25000,15.65,0.23,649,3,No,1
25,female,High School,RENT,VENTURE,120696,3,25000,9.33,0.21,545,4,Yes,0
23,male,High School,MORTGAGE,PERSONAL,19065,3,3600,13.47,0.19,540,4,No,1
24,female,Associate,RENT,PERSONAL,124083,0,25000,10.36,0.2,637,3,Yes,0
24,male,Associate,RENT,HOMEIMPROVEMENT,111673,4,25000,16.77,0.22,600,4,No,1
23,male,High School,RENT,DEBTCONSOLIDATION,112633,1,25000,14.59,0.22,633,2,No,1
22,male,High School,RENT,VENTURE,210938,0,3500,11.91,0.02,588,2,No,0
